기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	동대문구	청량리동	1,355	797	558	641	355	286	124	81	43	149	96	53	208	112	96	12	9	3	67	49	18	10	7	3	59	30	29	54	37	17	3	1	2	8	7	1	8	5	3	2	1	1	7	4	3	3	3	-
2019	동대문구	용신동	1,482	879	603	725	408	317	156	106	50	136	90	46	224	122	102	11	6	5	68	50	18	10	8	2	61	34	27	60	37	23	3	3	-	6	5	1	9	5	4	1	1	-	9	3	6	3	1	2
2019	동대문구	제기동	1,373	773	600	656	339	317	151	97	54	143	91	52	209	116	93	10	9	1	68	39	29	6	5	1	47	21	26	50	35	15	4	3	1	5	4	1	6	3	3	1	-	1	9	5	4	8	6	2
2019	동대문구	전농1동	1,540	906	634	728	408	320	153	90	63	148	98	50	232	132	100	11	8	3	96	65	31	13	11	2	65	37	28	50	27	23	4	3	1	6	5	1	11	5	6	1	1	-	16	12	4	6	4	2
2019	동대문구	전농2동	894	503	391	435	235	200	93	52	41	78	49	29	134	76	58	8	8	-	52	32	20	7	7	-	29	12	17	43	25	18	1	-	1	3	1	2	4	2	2	1	-	1	3	3	-	3	1	2
2019	동대문구	답십리1동	1,059	594	465	480	258	222	122	66	56	110	70	40	153	88	65	7	5	2	57	39	18	10	10	-	46	23	23	44	20	24	4	3	1	5	3	2	9	4	5	3	1	2	5	3	2	4	1	3
2019	동대문구	답십리2동	1,463	839	624	687	376	311	140	82	58	164	95	69	218	128	90	10	9	1	74	46	28	14	13	1	54	28	26	60	34	26	5	3	2	14	10	4	10	7	3	1	1	-	11	7	4	1	-	1
2019	동대문구	장안1동	1,689	1,023	666	809	492	317	175	96	79	150	98	52	214	121	93	17	14	3	106	64	42	22	20	2	92	50	42	70	45	25	3	2	1	8	7	1	11	7	4	-	-	-	7	5	2	5	2	3
2019	동대문구	장안2동	1,306	775	531	623	360	263	142	91	51	117	74	43	162	87	75	10	8	2	89	54	35	14	10	4	45	24	21	62	39	23	1	1	-	12	12	-	11	5	6	2	1	1	13	7	6	3	2	1
2019	동대문구	이문1동	812	489	323	380	213	167	88	59	29	77	51	26	109	64	45	12	9	3	47	35	12	6	6	-	35	16	19	31	18	13	3	3	-	6	4	2	3	2	1	3	-	3	9	6	3	3	3	-
2019	동대문구	이문2동	1,015	578	437	496	274	222	105	56	49	97	62	35	147	80	67	6	6	-	62	37	25	12	9	3	37	18	19	31	18	13	3	2	1	-	-	-	9	8	1	2	2	-	6	6	-	2	-	2
2019	중랑구	소계	20,361	11,788	8,573	9,816	5,547	4,269	2,120	1,256	864	2,043	1,215	828	2,448	1,383	1,065	175	126	49	1,288	807	481	215	180	35	868	451	417	858	496	362	58	37	21	130	95	35	95	56	39	16	6	10	161	102	59	70	31	39
2019	중랑구	면목2동	1,277	738	539	648	361	287	107	67	40	131	79	52	152	85	67	10	6	4	87	59	28	14	12	2	46	24	22	57	33	24	2	1	1	8	5	3	6	3	3	-	-	-	7	3	4	2	-	2
2019	중랑구	면목4동	1,268	752	516	578	341	237	124	78	46	112	65	47	169	92	77	9	5	4	83	49	34	16	15	1	89	49	40	50	32	18	5	3	2	10	7	3	5	4	1	2	1	1	9	7	2	7	4	3
2019	중랑구	면목5동	522	339	183	249	152	97	49	33	16	50	36	14	63	38	25	5	5	-	32	22	10	4	3	1	34	22	12	17	12	5	-	-	-	4	4	-	2	2	-	-	-	-	10	9	1	3	1	2
2019	중랑구	면목7동	1,043	604	439	520	296	224	96	56	40	116	62	54	136	91	45	16	14	2	55	29	26	10	10	-	40	17	23	32	17	15	2	1	1	2	1	1	6	3	3	-	-	-	11	7	4	1	-	1
2019	중랑구	상봉1동	1,400	809	591	636	381	255	146	85	61	139	81	58	154	74	80	10	6	4	118	60	58	17	17	-	71	40	31	68	39	29	5	2	3	17	13	4	4	3	1	-	-	-	10	7	3	5	1	4
2019	중랑구	상봉2동	854	479	375	408	210	198	87	54	33	111	68	43	108	61	47	8	6	2	33	21	12	9	5	4	27	18	9	39	23	16	1	1	-	7	6	1	6	3	3	-	-	-	6	3	3	4	-	4
2019	중랑구	중화1동	879	534	345	432	244	188	82	53	29	82	56	26	113	70	43	7	5	2	58	41	17	12	10	2	30	16	14	41	24	17	6	3	3	9	5	4	1	1	-	-	-	-	3	3	-	3	3	-
2019	중랑구	중화2동	1,593	933	660	781	442	339	163	103	60	157	85	72	198	118	80	10	7	3	84	54	30	14	9	5	67	40	27	83	53	30	3	3	-	4	3	1	5	3	2	2	-	2	19	11	8	3	2	1
2019	중랑구	묵1동	1,461	851	610	705	399	306	147	90	57	147	87	60	198	114	84	8	6	2	98	67	31	14	10	4	52	24	28	51	30	21	4	3	1	6	5	1	11	5	6	-	-	-	15	7	8	5	4	1
2019	중랑구	묵2동	905	524	381	414	254	160	99	57	42	82	52	30	118	55	63	8	6	2	64	36	28	14	13	1	38	14	24	45	21	24	3	2	1	6	5	1	5	4	1	1	-	1	5	4	1	3	1	2
2019	중랑구	망우3동	981	569	412	466	281	185	99	64	35	112	73	39	117	62	55	5	4	1	69	34	35	10	7	3	42	17	25	35	18	17	1	1	-	3	2	1	6	2	4	2	-	2	11	4	7	3	-	3
2019	중랑구	신내1동	1,949	1,054	895	923	480	443	244	125	119	186	97	89	239	132	107	15	10	5	125	84	41	20	18	2	53	22	31	96	55	41	2	-	2	14	11	3	13	8	5	2	1	1	11	8	3	6	3	3
2019	중랑구	신내2동	1,471	810	661	681	365	316	175	97	78	128	66	62	149	80	69	13	6	7	110	80	30	21	16	5	90	43	47	68	40	28	5	3	2	12	7	5	8	4	4	2	-	2	4	2	2	5	1	4
2019	중랑구	면목본동	1,738	994	744	894	489	405	177	102	75	182	110	72	177	103	74	21	17	4	111	74	37	13	11	2	70	32	38	49	26	23	1	1	-	12	9	3	4	4	-	1	1	-	19	10	9	7	5	2
2019	중랑구	면목3.8동	1,277	769	508	626	366	260	122	80	42	145	86	59	152	93	59	17	14	3	61	38	23	9	8	1	52	30	22	62	35	27	6	3	3	8	5	3	2	2	-	3	2	1	7	7	-	5	-	5
2019	중랑구	망우본동	1,743	1,029	714	855	486	369	203	112	91	163	112	51	205	115	90	13	9	4	100	59	41	18	16	2	67	43	24	65	38	27	12	10	2	8	7	1	11	5	6	1	1	-	14	10	4	8	6	2
2019	성북구	소계	17,687	10,070	7,617	8,070	4,411	3,659	1,885	1,101	784	1,921	1,138	783	2,501	1,384	1,117	154	112	42	1,061	663	398	214	186	28	654	338	316	791	451	340	36	28	8	82	60	22	136	89	47	18	10	8	115	73	42	49	26	23
2019	성북구	돈암1동	634	339	295	289	136	153	62	37	25	72	41	31	109	67	42	2	1	1	26	16	10	10	8	2	18	9	9	28	12	16	-	-	-	3	1	2	8	6	2	-	-	-	6	5	1	1	-	1
2019	성북구	돈암2동	729	421	308	298	163	135	87	45	42	82	53	29	120	68	52	6	5	1	33	19	14	21	18	3	24	15	9	35	21	14	3	2	1	3	2	1	6	4	2	-	-	-	10	5	5	1	1	-
2019	성북구	안암동	597	357	240	244	136	108	80	56	24	64	37	27	62	30	32	10	9	1	67	42	25	11	10	1	22	12	10	24	15	9	1	1	-	3	2	1	2	2	-	2	1	1	3	2	1	2	2	-
2019	성북구	보문동	593	327	266	276	131	145	64	38	26	64	41	23	78	50	28	5	5	-	27	17	10	5	4	1	24	13	11	31	15	16	2	1	1	3	2	1	5	4	1	-	-	-	6	4	2	3	2	1
2019	성북구	정릉1동	663	359	304	308	161	147	57	29	28	75	41	34	102	50	52	6	5	1	39	29	10	9	9	-	25	9	16	25	14	11	1	1	-	1	-	1	9	8	1	-	-	-	5	3	2	1	-	1
2019	성북구	정릉2동	982	565	417	450	250	200	111	70	41	98	58	40	132	76	56	8	5	3	60	32	28	12	11	1	40	22	18	46	26	20	1	1	-	6	4	2	6	4	2	1	1	-	8	4	4	3	1	2
2019	성북구	정릉3동	748	429	319	360	185	175	81	46	35	74	52	22	101	57	44	2	1	1	47	35	12	8	5	3	26	18	8	34	18	16	2	2	-	4	4	-	5	4	1	-	-	-	1	1	-	3	1	2
2019	성북구	정릉4동	1,047	601	446	493	275	218	120	76	44	108	60	48	125	77	48	10	8	2	60	32	28	11	10	1	42	23	19	44	21	23	2	2	-	6	4	2	14	7	7	1	-	1	5	3	2	6	3	3
2019	성북구	길음1동	1,048	577	471	458	231	227	112	59	53	116	65	51	155	93	62	12	6	6	68	51	17	19	16	3	28	13	15	52	22	30	1	1	-	4	3	1	13	11	2	1	1	-	6	4	2	3	1	2
2019	성북구	길음2동	577	324	253	273	147	126	55	29	26	61	35	26	88	51	37	3	2	1	33	22	11	5	5	-	17	6	11	29	16	13	-	-	-	2	1	1	6	5	1	1	1	-	4	4	-	-	-	-
2019	성북구	월곡1동	1,174	673	501	518	284	234	136	77	59	121	66	55	167	102	65	15	12	3	76	47	29	12	11	1	52	27	25	50	36	14	-	-	-	4	3	1	11	5	6	4	2	2	5	1	4	3	-	3
2019	성북구	월곡2동	931	536	395	482	278	204	102	53	49	91	55	36	113	67	46	3	1	2	45	29	16	4	1	3	34	15	19	39	24	15	1	1	-	2	2	-	6	3	3	1	1	-	6	4	2	2	2	-
2019	성북구	장위1동	1,086	597	489	483	266	217	95	56	39	120	71	49	153	74	79	11	9	2	80	45	35	9	9	-	59	21	38	50	31	19	4	4	-	5	4	1	8	3	5	1	-	1	5	3	2	3	1	2
2019	성북구	장위2동	714	403	311	322	174	148	72	45	27	63	44	19	106	45	61	10	8	2	46	31	15	4	4	-	38	23	15	35	19	16	4	3	1	3	2	1	2	-	2	1	-	1	8	5	3	-	-	-
2019	성북구	장위3동	720	438	282	338	199	139	80	42	38	82	57	25	97	62	35	5	3	2	40	19	21	8	6	2	20	13	7	32	23	9	-	-	-	3	3	-	4	3	1	-	-	-	7	5	2	4	3	1
2019	성북구	성북동	587	342	245	233	131	102	61	30	31	82	54	28	92	49	43	7	6	1	45	28	17	13	9	4	14	7	7	25	15	10	-	-	-	4	3	1	5	5	-	-	-	-	3	2	1	3	3	-
2019	성북구	삼선동	932	537	395	415	230	185	113	74	39	100	47	53	125	66	59	7	7	-	56	38	18	12	12	-	41	24	17	41	22	19	2	1	1	9	7	2	4	4	-	1	1	-	4	2	2	2	2	-
2019	성북구	동선동	558	323	235	247	138	109	47	31	16	91	49	42	79	42	37	3	3	-	30	24	6	7	7	-	21	8	13	18	11	7	3	2	1	4	3	1	3	1	2	2	1	1	3	3	-	-	-	-
2019	성북구	종암동	1,608	901	707	743	414	329	165	98	67	152	88	64	263	124	139	16	10	6	88	53	35	25	22	3	54	31	23	71	45	26	8	5	3	4	3	1	6	3	3	1	-	1	6	2	4	6	3	3
2019	성북구	석관동	1,759	1,021	738	840	482	358	185	110	75	205	124	81	234	134	100	13	6	7	95	54	41	9	9	-	55	29	26	82	45	37	1	1	-	9	7	2	13	7	6	1	1	-	14	11	3	3	1	2
2019	강북구	소계	17,517	9,940	7,577	7,872	4,363	3,509	1,760	1,054	706	1,992	1,118	874	2,556	1,414	1,142	145	102	43	1,185	699	486	149	130	19	731	374	357	702	400	302	37	23	14	100	78	22	92	58	34	10	6	4	134	87	47	52	34	18
2019	강북구	번1동	972	589	383	458	279	179	99	61	38	122	68	54	139	88	51	6	4	2	50	30	20	2	2	-	36	17	19	42	26	16	1	1	-	8	7	1	1	1	-	1	1	-	6	3	3	1	1	-
2019	강북구	번2동	1,360	739	621	586	313	273	146	88	58	135	78	57	187	90	97	15	11	4	102	58	44	13	11	2	74	36	38	58	28	30	5	2	3	12	11	1	6	3	3	1	-	1	15	8	7	5	2	3
2019	강북구	번3동	2,020	1,123	897	893	477	416	226	140	86	193	117	76	256	134	122	15	8	7	151	83	68	8	7	1	140	75	65	82	49	33	7	4	3	22	14	8	8	3	5	-	-	-	9	7	2	10	5	5
2019	강북구	수유1동	1,293	772	521	527	293	234	131	83	48	195	118	77	181	113	68	9	6	3	122	82	40	9	7	2	43	23	20	50	31	19	1	1	-	7	5	2	4	1	3	1	1	-	11	6	5	2	2	-
2019	강북구	수유2동	1,116	614	502	493	251	242	104	68	36	131	66	65	169	96	73	8	6	2	75	45	30	17	17	-	41	16	25	56	35	21	4	2	2	4	3	1	8	5	3	-	-	-	4	2	2	2	2	-
2019	강북구	수유3동	1,094	624	470	502	285	217	97	61	36	126	67	59	159	78	81	7	5	2	71	43	28	15	13	2	53	26	27	45	32	13	2	1	1	4	4	-	2	1	1	-	-	-	6	3	3	5	5	-
2019	강북구	삼양동	1,418	823	595	626	350	276	123	74	49	183	109	74	218	125	93	15	9	6	106	65	41	14	11	3	45	26	19	51	30	21	1	-	1	7	5	2	16	11	5	-	-	-	8	6	2	5	2	3
2019	강북구	미아동	1,166	673	493	509	288	221	114	61	53	130	74	56	216	124	92	10	5	5	55	39	16	7	7	-	45	27	18	46	28	18	3	2	1	3	2	1	8	6	2	3	2	1	12	6	6	5	2	3
2019	강북구	송중동	1,432	836	596	687	384	303	112	69	43	160	83	77	241	156	85	14	13	1	85	46	39	10	10	-	45	26	19	51	29	22	3	3	-	5	2	3	5	3	2	-	-	-	10	8	2	4	4	-
2019	강북구	송천동	1,534	867	667	706	403	303	155	95	60	168	93	75	236	126	110	14	10	4	86	45	41	9	8	1	62	31	31	61	28	33	3	3	-	6	5	1	6	4	2	1	-	1	16	12	4	5	4	1
2019	강북구	삼각산동	1,288	702	586	609	333	276	128	70	58	151	83	68	169	82	87	11	8	3	82	47	35	19	15	4	42	18	24	41	22	19	1	1	-	9	7	2	10	5	5	1	-	1	11	8	3	4	3	1
2019	강북구	우이동	1,003	559	444	473	249	224	118	63	55	100	58	42	122	68	54	7	4	3	67	41	26	9	9	-	39	21	18	43	26	17	4	1	3	6	6	-	6	5	1	-	-	-	8	7	1	1	1	-
2019	강북구	인수동	1,821	1,019	802	803	458	345	207	121	86	198	104	94	263	134	129	14	13	1	133	75	58	17	13	4	66	32	34	76	36	40	2	2	-	7	7	-	12	10	2	2	2	-	18	11	7	3	1	2
2019	도봉구	소계	15,450	8,971	6,479	6,920	3,917	3,003	1,678	965	713	1,651	1,024	627	2,157	1,204	953	106	72	34	1,104	687	417	177	152	25	625	334	291	634	358	276	35	27	8	75	54	21	94	55	39	16	9	7	136	84	52	42	29	13
2019	도봉구	쌍문1동	1,117	640	477	493	271	222	109	60	49	130	86	44	153	89	64	11	3	8	78	47	31	14	13	1	46	23	23	45	21	24	5	4	1	7	6	1	11	6	5	1	-	1	13	10	3	1	1	-
2019	도봉구	쌍문2동	924	547	377	398	239	159	104	55	49	108	66	42	131	74	57	4	3	1	66	43	23	14	12	2	33	20	13	41	20	21	3	3	-	7	4	3	3	2	1	1	-	1	8	4	4	3	2	1
2019	도봉구	쌍문3동	803	441	362	361	185	176	63	36	27	93	59	34	132	76	56	5	5	-	58	24	34	8	7	1	30	14	16	33	23	10	2	2	-	5	3	2	5	3	2	1	-	1	5	3	2	2	1	1
2019	도봉구	쌍문4동	684	372	312	318	159	159	51	28	23	67	43	24	96	48	48	3	1	2	56	33	23	15	14	1	18	5	13	38	25	13	1	1	-	1	-	1	8	8	-	-	-	-	8	4	4	4	3	1
2019	도봉구	방학1동	1,505	918	587	690	413	277	171	102	69	144	95	49	208	120	88	8	6	2	109	65	44	17	15	2	55	32	23	60	38	22	3	3	-	10	9	1	8	5	3	-	-	-	14	9	5	8	6	2
2019	도봉구	방학2동	1,248	741	507	555	344	211	121	72	49	136	84	52	156	86	70	14	11	3	93	52	41	10	7	3	74	32	42	54	30	24	1	-	1	6	5	1	6	2	4	3	2	1	11	9	2	8	5	3
2019	도봉구	방학3동	1,042	602	440	468	253	215	155	89	66	95	64	31	137	74	63	10	5	5	69	55	14	11	11	-	35	17	18	45	22	23	2	2	-	5	4	1	6	4	2	-	-	-	2	2	-	2	-	2
2019	도봉구	창1동	1,054	596	458	465	250	215	130	75	55	112	69	43	164	85	79	4	2	2	56	38	18	15	12	3	44	29	15	42	22	20	4	3	1	1	-	1	7	4	3	1	1	-	8	5	3	1	1	-
2019	도봉구	창2동	1,317	752	565	613	349	264	142	92	50	150	78	72	187	96	91	10	9	1	80	46	34	9	7	2	43	26	17	53	31	22	1	1	-	6	5	1	7	3	4	-	-	-	12	6	6	4	3	1
2019	도봉구	창3동	783	479	304	368	217	151	96	50	46	83	61	22	87	55	32	5	4	1	61	40	21	12	10	2	30	19	11	27	15	12	2	2	-	2	1	1	3	-	3	1	-	1	4	3	1	2	2	-
2019	도봉구	창4동	1,000	543	457	435	235	200	111	55	56	109	59	50	147	82	65	5	3	2	71	44	27	14	12	2	30	15	15	46	23	23	1	-	1	9	5	4	6	3	3	2	1	1	12	4	8	2	2	-
2019	도봉구	창5동	1,012	597	415	428	237	191	121	75	46	122	72	50	149	86	63	5	4	1	70	43	27	12	11	1	44	28	16	39	25	14	1	1	-	4	3	1	6	5	1	2	2	-	8	5	3	1	-	1
2019	도봉구	도봉1동	1,481	875	606	624	361	263	141	87	54	145	88	57	212	129	83	12	8	4	153	98	55	14	11	3	94	48	46	54	28	26	6	4	2	5	2	3	6	3	3	3	2	1	11	5	6	1	1	-
2019	도봉구	도봉2동	1,480	868	612	704	404	300	163	89	74	157	100	57	198	104	94	10	8	2	84	59	25	12	10	2	49	26	23	57	35	22	3	1	2	7	7	-	12	7	5	1	1	-	20	15	5	3	2	1
2019	노원구	소계	27,342	15,025	12,317	12,114	6,534	5,580	2,934	1,652	1,282	2,780	1,530	1,250	3,479	1,784	1,695	229	158	71	2,226	1,317	909	369	305	64	1,464	702	762	1,069	625	444	99	64	35	150	102	48	104	77	27	34	19	15	178	104	74	113	52	61
2019	노원구	월계1동	1,060	619	441	483	255	228	100	67	33	98	51	47	172	110	62	11	8	3	68	46	22	15	14	1	33	16	17	48	28	20	5	3	2	1	1	-	6	6	-	1	1	-	13	9	4	6	4	2
2019	노원구	월계2동	2,314	1,286	1,028	1,011	559	452	234	133	101	206	113	93	275	138	137	18	11	7	189	120	69	29	21	8	199	103	96	93	51	42	10	7	3	15	12	3	7	5	2	3	1	2	15	7	8	10	5	5
2019	노원구	월계3동	1,955	1,051	904	864	459	405	200	116	84	203	112	91	255	122	133	21	14	7	148	98	50	16	16	-	115	45	70	82	45	37	5	1	4	12	4	8	8	6	2	1	1	-	13	8	5	12	4	8
2019	노원구	공릉2동	1,357	765	592	656	360	296	151	86	65	148	85	63	157	82	75	10	7	3	88	55	33	22	20	2	41	15	26	53	38	15	5	3	2	5	1	4	5	3	2	2	1	1	9	7	2	5	2	3
2019	노원구	하계1동	2,129	1,124	1,005	860	443	417	207	108	99	199	117	82	256	114	142	14	9	5	279	158	121	32	26	6	175	88	87	68	38	30	5	4	1	17	10	7	2	1	1	3	2	1	5	2	3	7	4	3
2019	노원구	하계2동	992	522	470	411	215	196	120	64	56	113	57	56	125	50	75	13	12	1	76	39	37	21	17	4	44	24	20	49	30	19	2	1	1	7	4	3	4	3	1	-	-	-	5	5	-	2	1	1
2019	노원구	중계본동	850	468	382	402	224	178	94	50	44	66	33	33	98	46	52	7	5	2	85	46	39	18	15	3	17	10	7	37	19	18	4	2	2	4	3	1	10	10	-	1	-	1	4	4	-	3	1	2
2019	노원구	중계1동	760	420	340	360	189	171	73	43	30	74	43	31	96	56	40	6	2	4	51	31	20	24	16	8	24	9	15	31	17	14	3	2	1	8	6	2	7	5	2	1	1	-	1	-	1	1	-	1
2019	노원구	중계4동	1,526	834	692	645	349	296	163	107	56	154	70	84	208	101	107	11	7	4	115	68	47	11	11	-	132	72	60	57	35	22	2	1	1	8	6	2	2	1	1	1	-	1	8	3	5	9	3	6
2019	노원구	상계1동	1,901	1,059	842	825	451	374	211	118	93	232	141	91	224	119	105	18	16	2	172	82	90	26	22	4	67	31	36	81	50	31	3	2	1	9	7	2	16	11	5	1	1	-	13	7	6	3	1	2
2019	노원구	상계2동	881	514	367	379	224	155	105	53	52	84	47	37	126	73	53	10	8	2	75	52	23	12	10	2	33	16	17	38	19	19	4	3	1	4	4	-	2	2	-	-	-	-	6	2	4	3	1	2
2019	노원구	상계5동	1,302	730	572	579	303	276	148	89	59	142	87	55	170	91	79	8	5	3	110	71	39	15	11	4	60	27	33	38	25	13	6	4	2	7	7	-	5	4	1	-	-	-	8	2	6	6	4	2
2019	노원구	상계8동	723	388	335	333	172	161	73	37	36	97	55	42	97	56	41	6	6	-	39	24	15	13	8	5	33	13	20	20	11	9	3	1	2	1	-	1	-	-	-	1	-	1	4	2	2	3	3	-
2019	노원구	상계9동	771	432	339	337	181	156	88	45	43	80	45	35	107	63	44	2	-	2	58	41	17	14	12	2	23	7	16	38	22	16	6	6	-	3	2	1	4	2	2	3	2	1	6	4	2	2	-	2
2019	노원구	상계10동	505	281	224	204	104	100	60	34	26	51	27	24	75	38	37	7	5	2	40	25	15	12	12	-	21	14	7	23	14	9	1	-	1	-	-	-	4	3	1	1	-	1	3	3	-	3	2	1
2019	노원구	상계3.4동	1,600	879	721	713	396	317	197	115	82	169	88	81	223	115	108	10	4	6	113	68	45	12	10	2	61	28	33	57	31	26	10	6	4	9	3	6	8	5	3	2	1	1	8	5	3	8	4	4
2019	노원구	상계6.7동	1,275	691	584	589	321	268	132	66	66	144	83	61	161	80	81	9	8	1	103	59	44	20	15	5	40	17	23	47	27	20	2	1	1	5	4	1	4	2	2	2	-	2	14	7	7	3	1	2
2019	노원구	중계2.3동	3,215	1,716	1,499	1,409	741	668	362	203	159	314	159	155	389	192	197	30	20	10	264	150	114	36	31	5	231	112	119	106	60	46	14	10	4	21	16	5	5	4	1	6	4	2	18	11	7	10	3	7
2019	노원구	공릉1동	2,226	1,246	980	1,054	588	466	216	118	98	206	117	89	265	138	127	18	11	7	153	84	69	21	18	3	115	55	60	103	65	38	9	7	2	14	12	2	5	4	1	5	4	1	25	16	9	17	9	8
2019	은평구	소계	21,617	12,652	8,965	9,127	5,031	4,096	2,204	1,344	860	2,345	1,418	927	3,110	1,703	1,407	176	131	45	1,738	1,141	597	308	264	44	1,150	715	435	874	526	348	54	29	25	134	102	32	140	99	41	25	15	10	164	95	69	68	39	29
2019	은평구	녹번동	1,645	952	693	743	404	339	158	88	70	181	122	59	259	136	123	23	16	7	100	69	31	13	10	3	58	35	23	71	47	24	2	-	2	5	3	2	12	9	3	3	3	-	14	8	6	3	2	1
2019	은평구	불광1동	1,705	948	757	697	367	330	170	97	73	223	131	92	280	159	121	19	13	6	89	51	38	23	20	3	78	37	41	80	47	33	3	3	-	10	9	1	15	6	9	1	1	-	13	5	8	4	2	2
2019	은평구	갈현1동	1,101	637	464	466	262	204	113	72	41	128	80	48	157	85	72	5	3	2	69	42	27	10	8	2	77	40	37	53	27	26	1	1	-	6	4	2	8	8	-	-	-	-	6	4	2	2	1	1
2019	은평구	갈현2동	1,229	727	502	540	306	234	115	66	49	135	93	42	174	105	69	15	11	4	94	61	33	15	12	3	54	20	34	61	35	26	3	1	2	6	6	-	9	7	2	-	-	-	6	3	3	2	1	1
2019	은평구	구산동	2,294	1,628	666	709	428	281	239	178	61	154	100	54	236	137	99	15	11	4	422	329	93	32	29	3	338	303	35	70	50	20	3	1	2	37	30	7	8	8	-	1	1	-	21	17	4	9	6	3
2019	은평구	대조동	1,234	710	524	546	295	251	124	76	48	152	86	66	182	107	75	11	10	1	74	50	24	11	10	1	52	28	24	56	31	25	3	2	1	4	3	1	4	2	2	1	1	-	8	5	3	6	4	2
2019	은평구	응암1동	1,146	627	519	515	281	234	120	73	47	121	69	52	187	91	96	6	5	1	61	30	31	13	12	1	52	30	22	44	19	25	4	2	2	3	3	-	11	6	5	-	-	-	7	5	2	2	1	1
2019	은평구	응암2동	896	513	383	396	221	175	100	56	44	91	51	40	127	66	61	7	6	1	57	36	21	18	14	4	33	21	12	38	24	14	2	1	1	7	5	2	4	3	1	1	-	1	10	5	5	5	4	1
2019	은평구	신사1동	1,227	712	515	536	304	232	115	66	49	155	91	64	162	91	71	11	7	4	115	72	43	15	10	5	47	29	18	37	26	11	1	1	-	3	1	2	9	6	3	5	2	3	12	5	7	4	1	3
2019	은평구	신사2동	1,002	589	413	459	250	209	81	47	34	101	64	37	135	79	56	4	4	-	91	55	36	17	15	2	37	20	17	52	38	14	2	1	1	6	5	1	5	4	1	-	-	-	8	4	4	4	3	1
2019	은평구	증산동	719	410	309	322	166	156	62	36	26	74	49	25	113	68	45	4	3	1	39	24	15	13	12	1	26	10	16	39	22	17	3	2	1	3	3	-	7	6	1	2	-	2	8	6	2	4	3	1
2019	은평구	수색동	484	262	222	204	106	98	55	28	27	64	35	29	67	36	31	4	4	-	37	24	13	4	4	-	20	9	11	15	10	5	2	-	2	3	1	2	4	3	1	1	1	-	4	1	3	-	-	-
2019	은평구	진관동	1,957	1,103	854	855	458	397	231	148	83	216	121	95	293	145	148	11	10	1	116	73	43	55	46	9	55	28	27	66	36	30	9	5	4	7	6	1	20	15	5	3	-	3	15	9	6	5	3	2
2019	은평구	불광2동	1,482	859	623	620	353	267	135	79	56	185	110	75	236	128	108	13	9	4	107	68	39	24	23	1	67	29	38	56	37	19	4	2	2	7	5	2	8	6	2	2	1	1	10	5	5	8	4	4
2019	은평구	응암3동	1,327	776	551	569	321	248	137	85	52	134	77	57	214	123	91	12	8	4	90	59	31	14	11	3	62	32	30	57	38	19	6	3	3	10	7	3	8	3	5	2	2	-	9	6	3	3	1	2
2019	은평구	역촌동	2,169	1,199	970	950	509	441	249	149	100	231	139	92	288	147	141	16	11	5	177	98	79	31	28	3	94	44	50	79	39	40	6	4	2	17	11	6	8	7	1	3	3	-	13	7	6	7	3	4
2019	서대문구	소계	12,612	7,006	5,606	5,549	2,959	2,590	1,410	793	617	1,336	794	542	1,820	946	874	118	84	34	811	518	293	150	129	21	513	272	241	579	307	272	32	21	11	47	32	15	92	61	31	10	6	4	116	68	48	29	16	13
2019	서대문구	천연동	791	427	364	355	179	176	80	49	31	81	48	33	104	53	51	3	2	1	50	30	20	11	9	2	41	19	22	39	20	19	5	4	1	7	6	1	5	3	2	-	-	-	8	4	4	2	1	1
2019	서대문구	홍제1동	935	511	424	405	211	194	99	53	46	99	59	40	143	74	69	9	5	4	76	45	31	16	13	3	31	18	13	37	18	19	1	-	1	2	1	1	11	9	2	1	1	-	4	3	1	1	1	-
2019	서대문구	홍제3동	834	461	373	379	196	183	90	50	40	90	53	37	131	72	59	11	7	4	45	33	12	3	2	1	32	16	16	36	21	15	3	2	1	3	1	2	3	2	1	-	-	-	8	6	2	-	-	-
2019	서대문구	홍제2동	623	333	290	265	125	140	87	53	34	75	40	35	93	52	41	12	10	2	26	16	10	6	6	-	17	7	10	26	14	12	3	2	1	3	2	1	5	3	2	-	-	-	4	3	1	1	-	1
