기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	중구	명동	128	67	61	59	29	30	7	5	2	25	17	8	20	6	14	-	-	-	3	-	3	2	2	-	4	3	1	5	4	1	-	-	-	-	-	-	1	1	-	-	-	-	1	-	1	1	-	1
2019	중구	필동	165	98	67	68	44	24	15	11	4	30	16	14	20	12	8	1	-	1	9	5	4	1	1	-	5	2	3	7	3	4	1	1	-	1	1	-	2	1	1	2	1	1	2	-	2	1	-	1
2019	중구	장충동	203	106	97	85	38	47	38	21	17	22	15	7	30	18	12	4	1	3	12	6	6	1	1	-	4	-	4	3	2	1	-	-	-	2	2	-	1	1	-	-	-	-	1	1	-	-	-	-
2019	중구	광희동	244	151	93	128	79	49	26	19	7	32	20	12	25	10	15	1	-	1	13	8	5	1	1	-	5	2	3	9	9	-	-	-	-	1	-	1	2	2	-	-	-	-	-	-	-	1	1	-
2019	중구	을지로동	86	62	24	42	34	8	7	5	2	11	7	4	15	9	6	1	1	-	-	-	-	-	-	-	5	2	3	4	3	1	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-
2019	중구	신당5동	486	291	195	234	130	104	40	29	11	56	38	18	65	37	28	3	3	-	30	17	13	6	5	1	20	12	8	21	12	9	1	-	1	4	3	1	1	1	-	-	-	-	1	1	-	4	3	1
2019	중구	황학동	510	300	210	243	131	112	61	44	17	53	37	16	69	35	34	2	1	1	22	13	9	6	4	2	14	11	3	23	11	12	2	-	2	3	3	-	4	3	1	-	-	-	8	7	1	-	-	-
2019	중구	중림동	539	320	219	236	137	99	58	31	27	71	40	31	73	45	28	3	1	2	26	17	9	7	5	2	33	21	12	22	15	7	-	-	-	-	-	-	2	1	1	-	-	-	5	5	-	3	2	1
2019	중구	신당동	376	233	143	178	103	75	45	31	14	43	29	14	42	28	14	2	2	-	24	14	10	4	3	1	16	10	6	15	8	7	-	-	-	2	2	-	2	1	1	-	-	-	2	2	-	1	-	1
2019	중구	다산동	652	343	309	317	159	158	43	23	20	78	47	31	106	53	53	4	3	1	29	16	13	8	8	-	25	10	15	28	14	14	3	1	2	2	2	-	4	3	1	-	-	-	3	2	1	2	2	-
2019	중구	약수동	891	476	415	385	196	189	87	51	36	121	60	61	142	77	65	2	1	1	54	30	24	11	9	2	32	18	14	36	16	20	4	4	-	4	4	-	5	5	-	2	1	1	4	3	1	2	1	1
2019	중구	청구동	623	356	267	285	156	129	51	35	16	73	38	35	95	55	40	4	4	-	38	23	15	8	6	2	26	16	10	29	15	14	-	-	-	3	3	-	4	2	2	1	-	1	3	2	1	3	1	2
2019	중구	동화동	440	231	209	205	86	119	55	32	23	39	25	14	60	36	24	5	4	1	24	15	9	8	4	4	14	8	6	16	10	6	2	2	-	3	2	1	3	3	-	-	-	-	3	2	1	3	2	1
2019	용산구	소계	8,025	4,633	3,392	3,518	1,923	1,595	804	476	328	991	616	375	1,144	628	516	66	45	21	530	340	190	106	84	22	298	155	143	343	211	132	22	14	8	44	35	9	65	49	16	6	5	1	68	41	27	20	11	9
2019	용산구	후암동	779	435	344	324	164	160	98	61	37	96	56	40	99	54	45	6	5	1	66	43	23	8	4	4	30	12	18	31	20	11	2	1	1	5	3	2	4	4	-	1	1	-	4	3	1	5	4	1
2019	용산구	용산2가동	490	277	213	221	113	108	48	29	19	55	35	20	71	42	29	3	3	-	41	23	18	3	3	-	19	9	10	17	10	7	1	-	1	3	3	-	5	5	-	-	-	-	3	2	1	-	-	-
2019	용산구	남영동	572	447	125	240	184	56	55	39	16	81	70	11	65	54	11	5	4	1	49	38	11	5	4	1	44	32	12	15	10	5	1	1	-	6	6	-	-	-	-	-	-	-	3	2	1	3	3	-
2019	용산구	원효로2동	468	254	214	194	102	92	52	28	24	59	30	29	75	44	31	3	3	-	28	16	12	4	3	1	18	7	11	20	11	9	1	-	1	2	2	-	5	4	1	-	-	-	7	4	3	-	-	-
2019	용산구	효창동	345	182	163	154	74	80	42	24	18	41	19	22	51	27	24	2	1	1	18	13	5	7	7	-	6	2	4	14	9	5	1	1	-	1	1	-	2	2	-	1	1	-	4	1	3	1	-	1
2019	용산구	용문동	489	259	230	205	107	98	50	30	20	51	27	24	84	38	46	4	3	1	36	21	15	8	5	3	16	8	8	19	9	10	3	3	-	2	1	1	5	4	1	-	-	-	4	2	2	2	1	1
2019	용산구	이촌1동	530	308	222	215	109	106	55	30	25	60	38	22	86	53	33	7	5	2	30	23	7	17	12	5	12	3	9	31	24	7	2	-	2	3	2	1	4	3	1	1	1	-	7	5	2	-	-	-
2019	용산구	이촌2동	378	207	171	182	103	79	33	15	18	36	17	19	57	24	33	2	2	-	26	18	8	3	2	1	12	9	3	19	11	8	-	-	-	3	2	1	2	2	-	-	-	-	2	2	-	1	-	1
2019	용산구	이태원1동	236	131	105	103	53	50	25	13	12	22	14	8	36	22	14	2	2	-	14	11	3	6	4	2	13	7	6	7	-	7	1	1	-	1	1	-	1	1	-	-	-	-	4	2	2	1	-	1
